account_id,company,tier,arr,renewal_date
adv-097,Texas Instruments,enterprise,165000,2025-03-21
adv-098,Analog Devices,mid-market,95000,2025-04-21
adv-099,ARM,enterprise,155000,2025-05-21
adv-100,RISC-V,mid-market,85000,2025-06-21
adv-101,Micron,enterprise,145000,2025-02-24
adv-102,SK Hynix,enterprise,125000,2025-03-24
adv-103,Western Digital,enterprise,105000,2025-04-24
adv-104,Seagate,mid-market,95000,2025-05-24
adv-105,Kioxia,mid-market,75000,2025-06-24
adv-106,TSMC,enterprise,350000,2025-02-11
adv-107,Samsung Electronics,enterprise,380000,2025-03-11
adv-108,GlobalFoundries,mid-market,135000,2025-04-11
adv-109,UMC,mid-market,105000,2025-05-11
adv-110,SMIC,mid-market,115000,2025-06-11
adv-111,Infineon,mid-market,95000,2025-02-14
adv-112,NXP,mid-market,85000,2025-03-14
adv-113,STMicroelectronics,mid-market,75000,2025-04-14
adv-114,onsemi,mid-market,65000,2025-05-14
adv-115,Renesas,mid-market,55000,2025-06-14
adv-116,Visa,enterprise,430000,2025-02-27
adv-117,Mastercard,enterprise,410000,2025-03-27
adv-118,American Express,enterprise,390000,2025-04-27
adv-119,PayPal,enterprise,185000,2025-05-27
adv-120,Square,enterprise,155000,2025-06-27
adv-121,Stripe (again),mid-market,145000,2025-02-06
adv-122,Adyen,enterprise,165000,2025-03-06
adv-123,Braintree,enterprise,135000,2025-04-06
adv-124,Checkout.com,enterprise,125000,2025-05-06
adv-125,Wise,enterprise,115000,2025-06-06
adv-126,Revolut,enterprise,105000,2025-02-28
adv-127,N26,mid-market,95000,2025-03-28
adv-128,Monzo,mid-market,85000,2025-04-28
adv-129,Starling,mid-market,75000,2025-05-28
adv-130,Chime,mid-market,65000,2025-06-28
adv-131,Coinbase,enterprise,155000,2025-02-03
adv-132,Binance,mid-market,135000,2025-03-03
adv-133,Kraken,mid-market,115000,2025-04-03
adv-134,Gemini,mid-market,105000,2025-05-03
adv-135,Robinhood,mid-market,95000,2025-06-03
adv-136,eToro,mid-market,85000,2025-02-25
adv-137,Webull,mid-market,75000,2025-03-25
adv-138,Public.com,mid-market,65000,2025-04-25
adv-139,Betterment,mid-market,55000,2025-05-25
adv-140,Wealthfront,mid-market,45000,2025-06-25
adv-141,Acorns,mid-market,35000,2025-02-07
adv-142,Stash,mid-market,25000,2025-03-07
adv-143,M1 Finance,mid-market,15000,2025-04-07
adv-144,SoFi,enterprise,135000,2025-05-07
adv-145,LendingClub,enterprise,125000,2025-06-07
adv-146,Upstart,enterprise,115000,2025-02-01
adv-147,Avant,mid-market,105000,2025-03-01
adv-148,Best Egg,mid-market,95000,2025-04-01
adv-149,Discover,enterprise,185000,2025-05-01
adv-150,Capital One,enterprise,195000,2025-06-01
adv-151,Chase,enterprise,255000,2025-02-04
adv-152,Bank of America,enterprise,265000,2025-03-04
adv-153,Wells Fargo,enterprise,245000,2025-04-04
adv-154,Citi,enterprise,235000,2025-05-04
adv-155,US Bank,enterprise,155000,2025-06-04
adv-156,PNC,enterprise,145000,2025-02-02
adv-157,TD Bank,enterprise,135000,2025-03-02
adv-158,Scotiabank,enterprise,125000,2025-04-02
adv-159,RBC,enterprise,165000,2025-05-02
adv-160,HSBC,enterprise,285000,2025-06-02
adv-161,Barclays,enterprise,215000,2025-02-18
adv-162,Lloyds,enterprise,205000,2025-03-18
adv-163,NatWest,enterprise,195000,2025-04-18
adv-164,Deutsche Bank,enterprise,225000,2025-05-18
adv-165,Commerzbank,mid-market,115000,2025-06-18
adv-166,UBS,enterprise,175000,2025-02-22
adv-167,Credit Suisse,enterprise,165000,2025-03-22
adv-168,JPMorgan,enterprise,395000,2025-04-22
adv-169,Goldman Sachs,enterprise,275000,2025-05-22
adv-170,Morgan Stanley,enterprise,265000,2025-06-22
adv-171,BlackRock,enterprise,315000,2025-02-08
adv-172,Vanguard,enterprise,305000,2025-03-08
adv-173,Fidelity,enterprise,295000,2025-04-08
adv-174,Charles Schwab,enterprise,285000,2025-05-08
adv-175,T. Rowe Price,mid-market,155000,2025-06-08
adv-176,State Street,enterprise,145000,2025-02-12
adv-177,Northern Trust,enterprise,135000,2025-03-12
adv-178,BNY Mellon,enterprise,185000,2025-04-12
adv-179,Invesco,mid-market,125000,2025-05-12
adv-180,Franklin Templeton,mid-market,115000,2025-06-12
adv-181,PIMCO,mid-market,105000,2025-02-15
adv-182,Allianz,enterprise,195000,2025-03-15
adv-183,Axa,enterprise,185000,2025-04-15
adv-184,Zurich,mid-market,135000,2025-05-15
adv-185,Munich Re,mid-market,125000,2025-06-15
adv-186,Swiss Re,mid-market,115000,2025-02-19
adv-187,Hannover Re,mid-market,105000,2025-03-19
adv-188,Lloyd's of London,mid-market,95000,2025-04-19
adv-189,AIG,mid-market,85000,2025-05-19
adv-190,Chubb,mid-market,75000,2025-06-19
adv-191,Travelers,mid-market,65000,2025-02-23
adv-192,Lemonade,mid-market,55000,2025-03-23
adv-193,Root Insurance,mid-market,45000,2025-04-23
adv-194,Hippo,mid-market,35000,2025-05-23
adv-195,Breeze,mid-market,25000,2025-06-23
adv-196,Nextdoor,mid-market,45000,2025-02-06
adv-197,Nextdoor,mid-market,45000,2025-03-06
adv-198,Nextdoor,mid-market,45000,2025-04-06
